Order_ID,Order_Date,Order_Day,Order_Week_Day,Order_Month,Order_Month_Name,Order_Year,Order_Quarter,Quarter_Label,Order_EOMonth,Ship_Date,Ship_Day,Ship_WeekDay,Ship_Month,Ship_Month_Name,Ship_Year,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub-Category,Product_Name,Sales,Selling_Price_Per_Unit,Adjusted_Sales,Quantity,Discount,Discount_Amount,Profit,Profit_Per_Unit,Total_Profit,Total_Revenue,,,,
CA-2016-152156,08-11-2016,8,Tuesday,11,Nov,2016,4,Q4,30-11-2016,11-11-2016,11,Friday,11,Nov,2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,$261.96,$130.98,$261.96,2,0%,$0.00,$41.91,$20.96,$41.91,$523.92,,,,
CA-2016-152156,08-11-2016,8,Tuesday,11,Nov,2016,4,Q4,30-11-2016,11-11-2016,11,Friday,11,Nov,2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$731.94,$243.98,$731.94,3,0%,$0.00,$219.58,$73.19,$219.58,"$2,195.82",,,,
CA-2016-138688,12-06-2016,12,Sunday,6,Jun,2016,2,Q2,30-06-2016,16-06-2016,16,Thursday,6,Jun,2016,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,$14.62,$7.31,$14.62,2,0%,$0.00,$6.87,$3.44,$6.87,$29.24,,Total_Revenue,"$22,96,919.49",
US-2015-108966,11-10-2015,11,Sunday,10,Oct,2015,4,Q4,31-10-2015,18-10-2015,18,Sunday,10,Oct,2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$957.58,$191.52,$526.67,5,45%,$4.31,-$383.03,-$76.61,-$383.03,"$2,633.34",,Total_Adjusted_Sales,"$19,74,421.77",
US-2015-108966,11-10-2015,11,Sunday,10,Oct,2015,4,Q4,31-10-2015,18-10-2015,18,Sunday,10,Oct,2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,$22.37,$11.18,$17.89,2,20%,$0.04,$2.52,$1.26,$2.52,$35.79,,Total_Discount,"$3,22,497.72",
CA-2014-115812,09-06-2014,9,Monday,6,Jun,2014,2,Q2,30-06-2014,14-06-2014,14,Saturday,6,Jun,2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$48.86,$6.98,$48.86,7,0%,$0.00,$14.17,$2.02,$14.17,$342.02,,Avg. Orver Value (AOV),197.5804829,
CA-2014-115812,09-06-2014,9,Monday,6,Jun,2014,2,Q2,30-06-2014,14-06-2014,14,Saturday,6,Jun,2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,$7.28,$1.82,$7.28,4,0%,$0.00,$1.97,$0.49,$1.97,$29.12,,No. of Orders,9993,
CA-2014-115812,09-06-2014,9,Monday,6,Jun,2014,2,Q2,30-06-2014,14-06-2014,14,Saturday,6,Jun,2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,$907.15,$151.19,$725.72,6,20%,$1.81,$90.72,$15.12,$90.72,"$4,354.33",,,,
CA-2014-115812,09-06-2014,9,Monday,6,Jun,2014,2,Q2,30-06-2014,14-06-2014,14,Saturday,6,Jun,2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$18.50,$6.17,$14.80,3,20%,$0.04,$5.78,$1.93,$5.78,$44.41,,Average Sales per Order,$229.85,
CA-2014-115812,09-06-2014,9,Monday,6,Jun,2014,2,Q2,30-06-2014,14-06-2014,14,Saturday,6,Jun,2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,$114.90,$22.98,$114.90,5,0%,$0.00,$34.47,$6.89,$34.47,$574.50,,,,
